district,sector,year,value_rs_cr,rank,growth_pct,contribution_pct
SRIKAKULAM,Agriculture,2022-23 (TRE),2178,12,,4.41
SRIKAKULAM,Agriculture,2023-24 (SRE),1938.1778396905945,11,-11.02,4.19
SRIKAKULAM,Agriculture,2024-25 (FRE),2245,11,15.84,4.06
SRIKAKULAM,Agriculture,2025-26 (FAE),2255.4076758809842,12,0.45,3.93
VIZIANAGARAM,Agriculture,2022-23 (TRE),1644,15,,3.33
VIZIANAGARAM,Agriculture,2023-24 (SRE),1542.8118149590923,14,-6.14,3.34
VIZIANAGARAM,Agriculture,2024-25 (FRE),1804,14,16.92,3.27
VIZIANAGARAM,Agriculture,2025-26 (FAE),2071.0718011810322,14,14.8,3.61
PARVATHIPURAM MANYAM,Agriculture,2022-23 (TRE),949,21,,1.92
PARVATHIPURAM MANYAM,Agriculture,2023-24 (SRE),885.543024985331,21,-6.64,1.92
PARVATHIPURAM MANYAM,Agriculture,2024-25 (FRE),1045,21,17.95,1.89
PARVATHIPURAM MANYAM,Agriculture,2025-26 (FAE),1192.8458322084928,21,14.16,2.08
ALLURI SEETHA RAMA RAJU,Agriculture,2022-23 (TRE),554,26,,1.12
ALLURI SEETHA RAMA RAJU,Agriculture,2023-24 (SRE),362.76017831996023,26,-34.48,0.78
ALLURI SEETHA RAMA RAJU,Agriculture,2024-25 (FRE),574,26,58.13,1.04
ALLURI SEETHA RAMA RAJU,Agriculture,2025-26 (FAE),494.58335516140306,25,-13.76,0.86
POLAVARAM,Agriculture,2022-23 (TRE),208,27,,0.42
POLAVARAM,Agriculture,2023-24 (SRE),131.8561861479287,27,-36.54,0.29
POLAVARAM,Agriculture,2024-25 (FRE),277,27,109.85,0.5
POLAVARAM,Agriculture,2025-26 (FAE),242.23875234621084,27,-12.64,0.42
VISAKHAPATNAM,Agriculture,2022-23 (TRE),84,28,,0.17
VISAKHAPATNAM,Agriculture,2023-24 (SRE),81.58604882873352,28,-2.38,0.18
VISAKHAPATNAM,Agriculture,2024-25 (FRE),91,28,10.98,0.16
VISAKHAPATNAM,Agriculture,2025-26 (FAE),75.2771367075003,28,-17.58,0.13
ANAKAPALLE,Agriculture,2022-23 (TRE),756,25,,1.53
ANAKAPALLE,Agriculture,2023-24 (SRE),563.9753460147108,24,-25.4,1.22
ANAKAPALLE,Agriculture,2024-25 (FRE),815,23,44.5,1.48
ANAKAPALLE,Agriculture,2025-26 (FAE),940.2673577618466,23,15.34,1.64
KAKINADA,Agriculture,2022-23 (TRE),1847,14,,3.74
KAKINADA,Agriculture,2023-24 (SRE),2010.0861010395017,10,8.83,4.35
KAKINADA,Agriculture,2024-25 (FRE),2352,10,17.01,4.26
KAKINADA,Agriculture,2025-26 (FAE),2352.994856045675,10,0.04,4.1
DR.B.R.AMBEDKAR KONASEEMA,Agriculture,2022-23 (TRE),1222,18,,2.47
DR.B.R.AMBEDKAR KONASEEMA,Agriculture,2023-24 (SRE),1270.712912333667,18,4.01,2.75
DR.B.R.AMBEDKAR KONASEEMA,Agriculture,2024-25 (FRE),1368,18,7.63,2.48
DR.B.R.AMBEDKAR KONASEEMA,Agriculture,2025-26 (FAE),1475.3511309436885,18,7.82,2.57
EAST GODAVARI,Agriculture,2022-23 (TRE),2720,6,,5.5
EAST GODAVARI,Agriculture,2023-24 (SRE),3046.0419655979426,5,11.99,6.59
EAST GODAVARI,Agriculture,2024-25 (FRE),3169,6,4.04,5.74
EAST GODAVARI,Agriculture,2025-26 (FAE),3340.0280347959106,5,5.4,5.82
WEST GODAVARI,Agriculture,2022-23 (TRE),2264,9,,4.58
WEST GODAVARI,Agriculture,2023-24 (SRE),2478.855338789468,8,9.5,5.36
WEST GODAVARI,Agriculture,2024-25 (FRE),2641,9,6.53,4.78
WEST GODAVARI,Agriculture,2025-26 (FAE),2683.5755901234324,9,1.63,4.68
ELURU,Agriculture,2022-23 (TRE),2991,4,,6.05
ELURU,Agriculture,2023-24 (SRE),3157.372123922981,3,5.55,6.83
ELURU,Agriculture,2024-25 (FRE),3128,7,-0.92,5.66
ELURU,Agriculture,2025-26 (FAE),3080.346965145976,8,-1.53,5.37
KRISHNA,Agriculture,2022-23 (TRE),3573,2,,7.23
KRISHNA,Agriculture,2023-24 (SRE),3408.889410916471,2,-4.59,7.37
KRISHNA,Agriculture,2024-25 (FRE),3680,4,7.95,6.66
KRISHNA,Agriculture,2025-26 (FAE),3374.48307021431,4,-8.32,5.88
NTR,Agriculture,2022-23 (TRE),1386,16,,2.8
NTR,Agriculture,2023-24 (SRE),1118.7114291809182,19,-19.26,2.42
NTR,Agriculture,2024-25 (FRE),1345,19,20.2,2.43
NTR,Agriculture,2025-26 (FAE),1752.166562140509,16,30.26,3.05
GUNTUR,Agriculture,2022-23 (TRE),1994,13,,4.03
GUNTUR,Agriculture,2023-24 (SRE),1847.59728285302,12,-7.32,4
GUNTUR,Agriculture,2024-25 (FRE),2239,12,21.16,4.05
GUNTUR,Agriculture,2025-26 (FAE),2291.7789677041224,11,2.37,3.99
BAPATLA,Agriculture,2022-23 (TRE),2924,5,,5.92
BAPATLA,Agriculture,2023-24 (SRE),3487.219982176101,1,19.25,7.54
BAPATLA,Agriculture,2024-25 (FRE),3315,5,-4.93,6
BAPATLA,Agriculture,2025-26 (FAE),4361.702838856094,2,31.58,7.6
PALNADU,Agriculture,2022-23 (TRE),2315,8,,4.68
PALNADU,Agriculture,2023-24 (SRE),1545.934752966145,13,-33.22,3.34
PALNADU,Agriculture,2024-25 (FRE),2708,8,75.16,4.9
PALNADU,Agriculture,2025-26 (FAE),3311.2217161140074,6,22.27,5.77
MARKAPURAM,Agriculture,2022-23 (TRE),908,22,,1.84
MARKAPURAM,Agriculture,2023-24 (SRE),929.7621205949332,20,2.42,2.01
MARKAPURAM,Agriculture,2024-25 (FRE),1515,16,62.9,2.74
MARKAPURAM,Agriculture,2025-26 (FAE),1305.935693919494,20,-13.8,2.28
PRAKASAM,Agriculture,2022-23 (TRE),2231,10,,4.51
PRAKASAM,Agriculture,2023-24 (SRE),3082.655307632497,4,38.19,6.67
PRAKASAM,Agriculture,2024-25 (FRE),4087,1,32.57,7.4
PRAKASAM,Agriculture,2025-26 (FAE),1980.3379653576212,15,-51.55,3.45
SPS NELLORE,Agriculture,2022-23 (TRE),2491,7,,5.04
SPS NELLORE,Agriculture,2023-24 (SRE),2622.5341727841574,7,5.3,5.67
SPS NELLORE,Agriculture,2024-25 (FRE),2222,13,-15.29,4.02
SPS NELLORE,Agriculture,2025-26 (FAE),3118.7088184739573,7,40.37,5.43
KURNOOL,Agriculture,2022-23 (TRE),3713,1,,7.51
KURNOOL,Agriculture,2023-24 (SRE),2115.4936972418704,9,-43.04,4.57
KURNOOL,Agriculture,2024-25 (FRE),4028,2,90.45,7.29
KURNOOL,Agriculture,2025-26 (FAE),3872.0378419811796,3,-3.87,6.75
NANDYAL,Agriculture,2022-23 (TRE),3037,3,,6.15
NANDYAL,Agriculture,2023-24 (SRE),2656.5972237989995,6,-12.51,5.75
NANDYAL,Agriculture,2024-25 (FRE),3894,3,46.56,7.05
NANDYAL,Agriculture,2025-26 (FAE),4533.870774293512,1,16.44,7.9
ANANTHAPURAMU,Agriculture,2022-23 (TRE),2230,11,,4.51
ANANTHAPURAMU,Agriculture,2023-24 (SRE),1351.731515504074,15,-39.37,2.92
ANANTHAPURAMU,Agriculture,2024-25 (FRE),1711,15,26.55,3.1
ANANTHAPURAMU,Agriculture,2025-26 (FAE),2100.9558682298616,13,22.79,3.66
SRI SATYA SAI,Agriculture,2022-23 (TRE),980,20,,1.98
SRI SATYA SAI,Agriculture,2023-24 (SRE),760.0884412581239,22,-22.45,1.64
SRI SATYA SAI,Agriculture,2024-25 (FRE),1004,22,32.11,1.82
SRI SATYA SAI,Agriculture,2025-26 (FAE),1131.343946040082,22,12.65,1.97
YSR KADAPA,Agriculture,2022-23 (TRE),1381,17,,2.79
YSR KADAPA,Agriculture,2023-24 (SRE),1338.7399561167488,16,-3.04,2.9
YSR KADAPA,Agriculture,2024-25 (FRE),1422,17,6.2,2.57
YSR KADAPA,Agriculture,2025-26 (FAE),1455.0933133771111,19,2.32,2.53
ANNAMAYYA,Agriculture,2022-23 (TRE),781,24,,1.58
ANNAMAYYA,Agriculture,2023-24 (SRE),538.9019534564368,25,-30.99,1.17
ANNAMAYYA,Agriculture,2024-25 (FRE),687,25,27.46,1.24
ANNAMAYYA,Agriculture,2025-26 (FAE),377.44842551673946,26,-45.12,0.66
CHITTOOR,Agriculture,2022-23 (TRE),882,23,,1.78
CHITTOOR,Agriculture,2023-24 (SRE),652.725934304171,23,-25.96,1.41
CHITTOOR,Agriculture,2024-25 (FRE),694,24,6.28,1.26
CHITTOOR,Agriculture,2025-26 (FAE),575.4675321805014,24,-17.15,1
TIRUPATI,Agriculture,2022-23 (TRE),1176,19,,2.38
TIRUPATI,Agriculture,2023-24 (SRE),1313.7615038078739,17,11.73,2.84
TIRUPATI,Agriculture,2024-25 (FRE),1186,20,-9.74,2.15
TIRUPATI,Agriculture,2025-26 (FAE),1658.9623445687248,17,39.88,2.89
SRIKAKULAM,Horticulture,2022-23 (TRE),1957.5176694669108,23,,1.62
SRIKAKULAM,Horticulture,2023-24 (SRE),1751.4589785415199,25,-10.57,1.39
SRIKAKULAM,Horticulture,2024-25 (FRE),2038,24,16.39,1.43
SRIKAKULAM,Horticulture,2025-26 (FAE),1740.9886402198106,25,-14.57,1.22
VIZIANAGARAM,Horticulture,2022-23 (TRE),2731.704383947737,19,,2.27
VIZIANAGARAM,Horticulture,2023-24 (SRE),3131.5829502084066,17,14.64,2.49
VIZIANAGARAM,Horticulture,2024-25 (FRE),3810,15,21.65,2.68
